
,Position* ,Gene coord.,Allele change,Codon number,Codon change,Amino acid change,Locus Id,Gene name,Gene type,Type of mutation,5' gene,3' gene,Strand,Sublineage surname,Essential,Origin,
4.1.1,3798451,,C/G,,GGG/GGC,G/G,Rv3383c,idsB,non essential,syn,3797437,398489,-,X,,Stucki,
4.1.2,3013784,,C/G,,GTC/CTC,V/L,Rv2697c,dut,ess,non-syn,3013683,3014147,-,Haarlem,,Stucki,
4.1.3,4409231,,T/G,,GAG/GCG,E/A,Rv3921c,-,ess,4280033,4408969,4410069,-,Ghana,,Stucki,
4.2,2181026,,G/C,,CCC/CCG,P/P,Rv1928c,,non essential,syn,2180450,2181217,-,-,,Stucki,
4.3,1480024,,G/T,,TTC/TTA,F/L,Rv1318c,,non essential,non-syn,1479199,1480824,-,LAM,,Stucki,
4.4,3966059,,G/C,,ACG/AGG,T/R,Rv3529c,-,non essential,non-syn,3965884,3967038,-,-,,Stucki,
4.5,2789341,,A/C,,ATC/AGC,I/S,Rv2483c,plsC,ess,non-syn,2789280,2791022,-,-,,Stucki,
4.6.1,990626,,T/A,,TTA/TTT,L/F,Rv0890c,,non essential,non-syn,989948,992596,-,Uganda,,Stucki,
4.6.2,3191099,,C/A,,ATG/ATT,M/I,Rv2881c,cdsA,ess,non-syn,3190701,3191621,-,Cameroon,,Stucki,
4.10,1692141,,A/C,,ATA/ATC,I/I,Rv1501,,non essential,syn,1691890,1692711,+,PGG3 (includes 4.7, 4.8, 4.9),,Stucki,
based on reference NC_000962.3,,,,,,,,,,,,,,,,,
In these two cases the reference allele is the one specific to the lineage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
blue= sublineages also detected by Coll et al (likely synonymous),,,,,,,,,,,,,,,,,
reen= additional sublineages,,,,,,,,,,,,,,,,,
